,customer,state,response,coverage,education,effective_to_date,employmentstatus,location_code,marital_status,renew_offer_type,sales_channel,vehicle_class,vehicle_size,gender_f,gender_m,policy_combined,corporate_auto,personal_auto,special_auto
0,BU79786,Washington,0,Basic,Bachelor,2011-02-24,Employed,Suburban,Married,Offer1,Agent,Two-Door Car,Medsize,1,0,Corporate Auto_L3,1,0,0
1,QZ44356,Arizona,0,Extended,Bachelor,2011-01-31,Unemployed,Suburban,Single,Offer3,Agent,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
2,AI49188,Nevada,0,Premium,Bachelor,2011-02-19,Employed,Suburban,Married,Offer1,Agent,Two-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
3,WW63253,California,0,Basic,Bachelor,2011-01-20,Unemployed,Suburban,Married,Offer1,Call Center,SUV,Medsize,0,1,Corporate Auto_L2,1,0,0
4,HB64268,Washington,0,Basic,Bachelor,2011-02-03,Employed,Rural,Single,Offer1,Agent,Four-Door Car,Medsize,0,1,Personal Auto_L1,0,1,0
5,OC83172,Oregon,1,Basic,Bachelor,2011-01-25,Employed,Rural,Married,Offer2,Web,Two-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
6,XZ87318,Oregon,1,Basic,College,2011-02-24,Employed,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,1,0,Corporate Auto_L3,1,0,0
7,CF85061,Arizona,0,Premium,Master,2011-01-18,Unemployed,Urban,Single,Offer1,Agent,Four-Door Car,Medsize,0,1,Corporate Auto_L3,1,0,0
8,DY87989,Oregon,1,Basic,Bachelor,2011-01-26,Medical Leave,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,0,1,Corporate Auto_L3,1,0,0
9,BQ94931,Oregon,0,Extended,College,2011-02-17,Employed,Urban,Married,Offer2,Branch,Four-Door Car,Medsize,1,0,Special Auto_L2,0,0,1
10,SX51350,California,0,Basic,College,2011-02-21,Unemployed,Suburban,Single,Offer1,Agent,Four-Door Car,Small,0,1,Personal Auto_L3,0,1,0
11,VQ65197,California,0,Basic,College,2011-01-06,Unemployed,Suburban,Married,Offer2,Agent,SUV,Medsize,1,0,Personal Auto_L3,0,1,0
12,DP39365,California,0,Premium,Master,2011-02-06,Employed,Urban,Married,Offer2,Agent,Four-Door Car,Medsize,0,1,Corporate Auto_L1,1,0,0
13,SJ95423,Arizona,1,Basic,High School or Below,2011-01-10,Employed,Suburban,Married,Offer2,Branch,SUV,Medsize,0,1,Corporate Auto_L3,1,0,0
14,IL66569,California,0,Basic,College,2011-01-18,Employed,Urban,Single,Offer4,Call Center,Four-Door Car,Medsize,0,1,Corporate Auto_L3,1,0,0
15,BW63560,Oregon,0,Basic,Bachelor,2011-01-17,Employed,Rural,Married,Offer2,Branch,Four-Door Car,Medsize,1,0,Corporate Auto_L2,1,0,0
16,FV94802,Nevada,0,Basic,High School or Below,2011-02-06,Medical Leave,Suburban,Married,Offer2,Call Center,Two-Door Car,Medsize,0,1,Personal Auto_L3,0,1,0
17,OE15005,California,0,Basic,College,2011-01-05,Medical Leave,Suburban,Married,Offer3,Call Center,SUV,Medsize,0,1,Personal Auto_L2,0,1,0
18,WC83389,Oregon,0,Basic,College,2011-02-27,Employed,Urban,Married,Offer2,Branch,Four-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0
19,FL50705,California,0,Premium,High School or Below,2011-01-14,Employed,Suburban,Married,Offer1,Call Center,Four-Door Car,Small,1,0,Corporate Auto_L2,1,0,0
20,ZK25313,Oregon,0,Basic,High School or Below,2011-02-19,Employed,Suburban,Single,Offer1,Branch,Two-Door Car,Medsize,0,1,Personal Auto_L2,0,1,0
21,SV62436,Washington,0,Extended,Bachelor,2011-01-21,Disabled,Suburban,Divorced,Offer4,Call Center,Four-Door Car,Medsize,1,0,Personal Auto_L3,0,1,0
