Customer,State,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Location Code,Marital Status,Policy Type,Renew Offer Type,Sales Channel,Vehicle Class,Vehicle Size
BU79786,Washington,0,Basic,High School or Below,2/24/11,Employed,0,Urban,Married,Corporate ,Offer1,Agent,Two-Door Car,Medsize
QZ44356,Arizona,0,Extended,High School or Below,1/31/11,Unemployed,0,Urban,Single,Personal ,Offer3,Agent,Four-Door Car,Medsize
AI49188,Nevada,0,Premium,High School or Below,2/19/11,Employed,0,Urban,Married,Personal ,Offer1,Agent,Two-Door Car,Medsize
WW63253,California,0,Basic,High School or Below,1/20/11,Unemployed,1,Urban,Married,Corporate ,Offer1,Call Center,SUV,Medsize
HB64268,Washington,0,Basic,High School or Below,2/3/11,Employed,1,Rural,Single,Personal ,Offer1,Agent,Four-Door Car,Medsize
OC83172,Oregon,1,Basic,High School or Below,1/25/11,Employed,0,Rural,Married,Personal ,Offer2,Web,Two-Door Car,Medsize
XZ87318,Oregon,1,Basic,High School or Below,2/24/11,Employed,0,Urban,Married,Corporate ,Offer1,Agent,Four-Door Car,Medsize
CF85061,Arizona,0,Premium,Master or more,1/18/11,Unemployed,1,Urban,Single,Corporate ,Offer1,Agent,Four-Door Car,Medsize
DY87989,Oregon,1,Basic,High School or Below,1/26/11,Unemployed,1,Urban,Single,Corporate ,Offer1,Agent,Four-Door Car,Medsize
BQ94931,Oregon,0,Extended,High School or Below,2/17/11,Employed,0,Urban,Married,Special ,Offer2,Branch,Four-Door Car,Medsize
SX51350,California,0,Basic,High School or Below,2/21/11,Unemployed,1,Urban,Single,Personal ,Offer1,Agent,Four-Door Car,Small
VQ65197,California,0,Basic,High School or Below,1/6/11,Unemployed,0,Urban,Married,Personal ,Offer2,Agent,SUV,Medsize
DP39365,California,0,Premium,Master or more,2/6/11,Employed,1,Urban,Married,Corporate ,Offer2,Agent,Four-Door Car,Medsize
SJ95423,Arizona,1,Basic,High School or Below,1/10/11,Employed,1,Urban,Married,Corporate ,Offer2,Branch,SUV,Medsize
IL66569,California,0,Basic,High School or Below,1/18/11,Employed,1,Urban,Single,Corporate ,Offer4,Call Center,Four-Door Car,Medsize
BW63560,Oregon,0,Basic,High School or Below,1/17/11,Employed,0,Rural,Married,Corporate ,Offer2,Branch,Four-Door Car,Medsize
FV94802,Nevada,0,Basic,High School or Below,2/6/11,Unemployed,1,Urban,Married,Personal ,Offer2,Call Center,Two-Door Car,Medsize
OE15005,California,0,Basic,High School or Below,1/5/11,Unemployed,1,Urban,Married,Personal ,Offer3,Call Center,SUV,Medsize
WC83389,Oregon,0,Basic,High School or Below,2/27/11,Employed,1,Urban,Married,Personal ,Offer2,Branch,Four-Door Car,Medsize
FL50705,California,0,Premium,High School or Below,1/14/11,Employed,0,Urban,Married,Corporate ,Offer1,Call Center,Four-Door Car,Small
ZK25313,Oregon,0,Basic,High School or Below,2/19/11,Employed,1,Urban,Single,Personal ,Offer1,Branch,Two-Door Car,Medsize
SV62436,Washington,0,Extended,High School or Below,1/21/11,Unemployed,0,Urban,Single,Personal ,Offer4,Call Center,Four-Door Car,Medsize
YH23384,Arizona,1,Basic,High School or Below,1/26/11,Unemployed,1,Urban,Single,Personal ,Offer1,Agent,Four-Door Car,Medsize
TZ98966,Nevada,0,Basic,High School or Below,2/24/11,Unemployed,0,Urban,Single,Corporate ,Offer1,Branch,Four-Door Car,Medsize
HM55802,California,0,Basic,High School or Below,2/5/11,Unemployed,0,Urban,Married,Corporate ,Offer2,Branch,Four-Door Car,Medsize
FS42516,Oregon,0,Basic,High School or Below,1/29/11,Employed,1,Urban,Married,Personal ,Offer2,Call Center,Four-Door Car,Large
US89481,California,0,Premium,High School or Below,2/28/11,Unemployed,0,Urban,Single,Personal ,Offer1,Agent,Four-Door Car,Small
HO30839,Washington,0,Extended,Master or more,2/12/11,Unemployed,0,Urban,Married,Corporate ,Offer1,Branch,SUV,Medsize
GE62437,Arizona,0,Premium,High School or Below,2/2/11,Employed,0,Urban,Single,Personal ,Offer1,Call Center,Four-Door Car,Large
EJ77678,Oregon,0,Extended,Master or more,2/7/11,Employed,0,Urban,Married,Personal ,Offer2,Branch,Four-Door Car,Small
SV85652,Arizona,0,Basic,High School or Below,2/28/11,Employed,1,Urban,Married,Personal ,Offer4,Call Center,Four-Door Car,Small
UL64533,Nevada,0,Extended,High School or Below,1/22/11,Employed,1,Urban,Married,Corporate ,Offer2,Agent,Luxury SUV,Medsize
PF41800,California,0,Basic,High School or Below,1/25/11,Unemployed,1,Urban,Married,Personal ,Offer1,Call Center,Four-Door Car,Medsize
AO98601,Washington,0,Basic,High School or Below,1/18/11,Employed,1,Urban,Married,Corporate ,Offer1,Agent,Two-Door Car,Small
SK67821,Oregon,0,Basic,High School or Below,2/13/11,Employed,0,Rural,Married,Corporate ,Offer3,Web,Four-Door Car,Medsize
YV55495,Arizona,0,Basic,High School or Below,1/15/11,Employed,0,Urban,Married,Personal ,Offer1,Branch,Four-Door Car,Medsize
KY38074,California,0,Premium,High School or Below,1/8/11,Employed,1,Urban,Married,Personal ,Offer1,Agent,Four-Door Car,Small
DM79012,Oregon,0,Extended,Master or more,2/6/11,Employed,0,Urban,Married,Personal ,Offer2,Web,Four-Door Car,Small
CM61827,Oregon,0,Extended,High School or Below,1/25/11,Unemployed,1,Urban,Single,Personal ,Offer3,Agent,Two-Door Car,Small
WC35801,Arizona,0,Basic,High School or Below,2/7/11,Employed,1,Rural,Single,Personal ,Offer1,Call Center,Four-Door Car,Medsize
QG25316,Nevada,0,Basic,High School or Below,1/18/11,Unemployed,0,Urban,Married,Corporate ,Offer3,Call Center,Two-Door Car,Medsize
MB98372,Oregon,1,Basic,High School or Below,1/11/11,Employed,0,Rural,Single,Corporate ,Offer2,Agent,Two-Door Car,Medsize
IL19217,California,1,Extended,High School or Below,1/28/11,Employed,0,Urban,Married,Personal ,Offer2,Agent,Four-Door Car,Small
SR38658,Arizona,0,Basic,High School or Below,2/8/11,Employed,1,Urban,Married,Personal ,Offer4,Agent,Sports Car,Medsize
DH41343,Washington,0,Basic,High School or Below,2/23/11,Employed,1,Urban,Married,Special ,Offer2,Call Center,Four-Door Car,Large
HG65722,Oregon,0,Premium,Master or more,1/25/11,Unemployed,0,Rural,Married,Personal ,Offer1,Branch,SUV,Medsize
BU27331,Arizona,0,Basic,High School or Below,1/31/11,Unemployed,1,Urban,Single,Personal ,Offer3,Call Center,Four-Door Car,Medsize
XM45289,Oregon,0,Basic,High School or Below,1/2/11,Employed,0,Urban,Single,Personal ,Offer4,Agent,Two-Door Car,Medsize
KP34198,California,0,Extended,High School or Below,2/7/11,Unemployed,0,Urban,Married,Corporate ,Offer2,Call Center,Four-Door Car,Medsize
SH90947,Arizona,0,Basic,High School or Below,1/18/11,Unemployed,0,Urban,Married,Personal ,Offer4,Branch,Four-Door Car,Medsize
WE95729,Oregon,0,Basic,High School or Below,1/17/11,Employed,1,Urban,Married,Personal ,Offer1,Agent,SUV,Small
PY51963,California,1,Basic,High School or Below,1/11/11,Employed,0,Urban,Single,Corporate ,Offer1,Web,SUV,Medsize
RB69909,Nevada,0,Basic,High School or Below,2/21/11,Employed,0,Rural,Married,Special ,Offer4,Branch,Four-Door Car,Medsize
XR95069,Washington,0,Basic,High School or Below,2/16/11,Employed,1,Urban,Single,Personal ,Offer4,Agent,Four-Door Car,Medsize
FR46645,California,0,Premium,High School or Below,1/17/11,Unemployed,1,Urban,Married,Personal ,Offer1,Branch,Four-Door Car,Small
SY17488,Arizona,0,Extended,High School or Below,2/5/11,Employed,0,Urban,Single,Corporate ,Offer3,Call Center,Four-Door Car,Small
AP67935,California,0,Basic,High School or Below,2/13/11,Employed,1,Urban,Married,Special ,Offer2,Branch,Four-Door Car,Medsize
FS37417,Arizona,0,Basic,High School or Below,2/23/11,Unemployed,0,Urban,Married,Personal ,Offer1,Call Center,SUV,Small
ML29312,Oregon,0,Extended,High School or Below,1/28/11,Unemployed,0,Urban,Single,Personal ,Offer1,Call Center,SUV,Medsize
UB61619,Oregon,0,Premium,Master or more,2/28/11,Unemployed,0,Urban,Single,Personal ,Offer1,Agent,Four-Door Car,Medsize
CD86811,Arizona,1,Basic,High School or Below,1/2/11,Unemployed,1,Urban,Single,Personal ,Offer1,Agent,Four-Door Car,Medsize
RU83859,California,0,Premium,High School or Below,1/22/11,Unemployed,0,Urban,Married,Personal ,Offer1,Call Center,Two-Door Car,Small
FG63582,Oregon,0,Extended,High School or Below,1/15/11,Unemployed,1,Urban,Single,Personal ,Offer1,Agent,Two-Door Car,Small
NN71951,California,0,Basic,High School or Below,1/27/11,Employed,0,Rural,Married,Personal ,Offer1,Agent,SUV,Medsize
WB37082,Arizona,0,Basic,High School or Below,1/23/11,Unemployed,0,Urban,Single,Personal ,Offer3,Branch,Four-Door Car,Large
SM52139,Washington,0,Basic,High School or Below,1/31/11,Employed,1,Urban,Married,Personal ,Offer3,Web,Four-Door Car,Medsize
FL82372,Oregon,0,Basic,High School or Below,1/26/11,Employed,0,Urban,Single,Corporate ,Offer1,Agent,SUV,Medsize
DP45816,Arizona,0,Extended,High School or Below,1/10/11,Employed,0,Urban,Married,Personal ,Offer4,Branch,Two-Door Car,Small
GW33762,Oregon,1,Extended,High School or Below,1/27/11,Unemployed,0,Urban,Single,Personal ,Offer1,Call Center,Two-Door Car,Large
RZ33670,California,0,Premium,High School or Below,1/9/11,Unemployed,0,Urban,Married,Personal ,Offer3,Web,Four-Door Car,Medsize
PY70169,Oregon,0,Basic,High School or Below,2/24/11,Employed,1,Rural,Single,Personal ,Offer4,Agent,SUV,Medsize
MO91628,Oregon,0,Basic,Master or more,2/11/11,Employed,1,Rural,Married,Personal ,Offer2,Web,Two-Door Car,Large
HW87852,Oregon,0,Basic,Master or more,2/12/11,Unemployed,1,Urban,Married,Personal ,Offer1,Agent,Four-Door Car,Medsize
HB20453,Oregon,0,Basic,High School or Below,2/4/11,Unemployed,1,Urban,Single,Personal ,Offer1,Agent,Sports Car,Medsize
BN87372,Oregon,1,Basic,High School or Below,1/18/11,Employed,1,Urban,Single,Personal ,Offer2,Branch,Two-Door Car,Medsize
YX23800,Oregon,0,Basic,High School or Below,2/11/11,Employed,1,Urban,Married,Personal ,Offer2,Branch,Four-Door Car,Small
DZ87709,Oregon,0,Basic,High School or Below,2/1/11,Employed,0,Rural,Single,Personal ,Offer2,Call Center,Four-Door Car,Medsize
XW13033,Nevada,0,Basic,High School or Below,2/15/11,Employed,1,Urban,Married,Personal ,Offer2,Agent,Four-Door Car,Medsize
LN31673,Washington,0,Extended,High School or Below,2/6/11,Employed,1,Rural,Married,Personal ,Offer1,Agent,Four-Door Car,Medsize
OM82309,California,0,Basic,High School or Below,2/27/11,Employed,1,Rural,Single,Personal ,Offer2,Branch,Luxury Car,Small
ZU35962,California,0,Extended,High School or Below,1/26/11,Unemployed,0,Rural,Single,Personal ,Offer3,Branch,Two-Door Car,Large
VH85817,California,1,Basic,High School or Below,2/26/11,Employed,1,Urban,Single,Personal ,Offer2,Call Center,Four-Door Car,Medsize
DT85712,California,0,Basic,Master or more,1/27/11,Employed,1,Urban,Married,Personal ,Offer3,Branch,SUV,Medsize
YJ88573,Nevada,0,Basic,Master or more,1/16/11,Employed,1,Urban,Married,Personal ,Offer2,Call Center,Four-Door Car,Large
SQ19467,Oregon,0,Extended,High School or Below,1/27/11,Unemployed,0,Urban,Single,Personal ,Offer2,Agent,Four-Door Car,Small
HF88410,Washington,0,Basic,High School or Below,2/28/11,Employed,1,Urban,Married,Personal ,Offer1,Call Center,Four-Door Car,Medsize
ET79815,California,1,Extended,High School or Below,1/25/11,Unemployed,1,Urban,Married,Personal ,Offer1,Agent,Four-Door Car,Medsize
QC35222,California,0,Basic,High School or Below,1/1/11,Employed,0,Urban,Married,Corporate ,Offer3,Web,Four-Door Car,Medsize
CJ15590,Oregon,0,Basic,High School or Below,2/1/11,Employed,0,Urban,Single,Personal ,Offer3,Branch,Four-Door Car,Medsize
OI48267,California,1,Extended,High School or Below,2/19/11,Employed,1,Urban,Married,Personal ,Offer1,Branch,Four-Door Car,Medsize
JY67916,Oregon,0,Premium,High School or Below,1/27/11,Unemployed,1,Urban,Married,Personal ,Offer2,Branch,Two-Door Car,Small
OE75231,Washington,1,Extended,High School or Below,2/27/11,Employed,0,Urban,Married,Corporate ,Offer2,Call Center,Two-Door Car,Medsize
CZ33664,Oregon,0,Basic,High School or Below,1/17/11,Employed,0,Rural,Married,Corporate ,Offer1,Agent,Four-Door Car,Medsize
WK30175,Oregon,0,Basic,High School or Below,2/10/11,Employed,1,Urban,Married,Corporate ,Offer1,Branch,Two-Door Car,Small
